parameter,value,se_sa,rse_sa
r_pop,5.43250583046563,0.111616411986543,2.05460270950093
beta_r_variant_1,0.149515981246293,0.0329691412859649,22.0505801528038
beta_r_variant_2,0.448912403863774,0.0366509899000425,8.16439679202194
delta_pop,1.11338260096681,0.0712725756996452,6.40144507716891
beta_delta_variant_1,0.345576938891194,0.0988848304879636,28.6144181973606
beta_delta_variant_2,0.317181854270448,0.0925812730771661,29.1887041552591
beta1_pop,0.0233293152569436,0.00796285448943748,34.1323969509454
beta_beta1_variant_1,-1.59352050396774,0.516511725614679,32.4132462888682
beta_beta1_variant_2,-0.817145419219427,0.496537815957891,60.7649268146428
tau_pop,7.49236568898811,0.33348627629364,4.45101440768943
beta_tau_variant_1,-0.143981727268355,0.0687506000960246,47.7495314165015
beta_tau_variant_2,-0.442256787687817,0.0668473086127508,15.115044126793
omega_r,0.0650123003510597,0.0102528022148195,15.770557509049
omega_delta,0.438400921000934,0.0313010234812164,7.13981699895876
omega_beta1,2.32866124782936,0.193909945777802,8.32709978570536
omega_tau,0.315080500708254,0.020317772075979,6.44843842456378
a,1.25394575062259,0.0257822124615193,2.05608675245467
