parameter,value,se_sa,rse_sa
r_pop,7.83426527016552,0.24994268732705,3.19037814916585
beta_r_variant_3,-0.0826862177980101,0.0361310664092067,43.6966006807439
delta_pop,1.59907608975087,0.105232332937362,6.58082086348729
beta_delta_variant_3,-0.0675115842423371,0.107075572643159,158.603258751571
beta1_pop,0.0123210000406311,0.00407288259673623,33.0564287257937
beta_beta1_variant_3,1.45574046789501,0.508316068019875,34.9180420020125
tau_pop,4.96139565901547,0.20120159701477,4.05534270682809
beta_tau_variant_3,0.096430303263181,0.0583089692862324,60.4674747595613
omega_r,0.0432329121053096,0.0289074398163065,66.8644289931057
omega_delta,0.442466640218417,0.0448311278426482,10.132092177733
omega_beta1,2.13607212395366,0.20766935055455,9.7220195997022
omega_tau,0.237032662508134,0.0198845773682192,8.38896089585833
a,1.09222285845639,0.0317710500927816,2.9088431767197
