parameter,value,se_sa,rse_sa
r_pop,5.58508956661348,0.133791924577277,2.39551976707872
beta_r_variant_1,0.103518103764027,0.034047175253982,32.8900685155454
beta_r_variant_2,0.300533816623946,0.0289028994411239,9.61718709921077
delta_pop,1.14274408597014,0.0736026084287309,6.44086539868158
beta_delta_variant_1,0.296683092091748,0.0928452199274369,31.2944088835117
beta_delta_variant_2,0.337157439800019,0.0834893748462148,24.7627265457157
beta1_pop,0.0223881805368855,0.00753582268663362,33.6598263276376
beta_beta1_variant_1,-0.996041249263897,0.476102303675534,47.7994565011627
beta_beta1_variant_2,-1.04946135088294,0.42344626370842,40.3489145505134
tau_pop,7.40751892127172,0.330230952640063,4.45805074748792
beta_tau_variant_1,-0.154907687817579,0.0628440842971998,40.568731728283
beta_tau_variant_2,-0.302288369313779,0.0558031400710977,18.4602339143169
omega_r,0.0594852144291614,0.0139960829743234,23.5286753332474
omega_delta,0.453805845172673,0.0280604591187963,6.1833622059494
omega_beta1,2.16259176228744,0.14949413763554,6.91273037484502
omega_tau,0.299430147523432,0.0165019162337561,5.5111071380896
a,1.26494214623852,0.0223561925252774,1.76736877585719
